0	1	2	19.95199999999999	19.996000000000002
0	2	2	19.968127490039837	94.94820717131473
0	3	2	20.06800000000002	170.02000000000007
0	4	2	94.9758064516129	19.963709677419356
0	5	2	95.02000000000005	94.98799999999994
0	6	2	94.98400000000001	169.98800000000008
0	7	2	169.99999999999991	20.035999999999987
0	8	2	169.99599999999992	94.98000000000003
0	9	2	170.05220883534145	169.9678714859438
0	10	1	84.75	117.5
0	11	1	37	172
0	12	1	86	124
0	13	1	69.5	52.75
0	14	1	88.33333333333333	71.33333333333333
0	15	1	117	159
0	16	1	126	62
0	17	1	81	95
0	18	1	90	82
0	19	1	176	58
0	20	1	30	144
0	21	1	32	101
0	22	1	162	101
0	23	1	49	97
0	24	1	131.71428571428572	144.14285714285714
0	25	1	139.6	129.2
0	26	1	138.5	144
0	27	1	116	21
0	28	1	79	133
0	29	1	80.66666666666667	58.666666666666664
1	1	2	20.02400000000001	19.99999999999999
1	2	2	19.915322580645157	94.95161290322578
1	3	2	20.032128514056243	170.0200803212852
1	4	2	94.96774193548384	19.983870967741932
1	5	2	95.02000000000005	94.98799999999994
1	6	2	94.98387096774195	169.9879032258064
1	7	2	170.06799999999998	20.052000000000014
1	8	2	169.99598393574288	95.01606425702812
1	9	2	170.05220883534145	169.9678714859438
1	10	1	84.6	117.5
1	11	1	37	172
1	12	1	86	124.25
1	13	1	69.5	53
1	14	1	88.5	71.5
1	15	1	115.8	159.2
1	16	1	125.33333333333333	62
1	17	1	81.5	94.5
1	18	1	90	81.4
1	19	1	176	57.5
1	20	1	29.5	144
1	21	1	32.333333333333336	101.33333333333333
1	22	1	162	101
1	23	1	49.5	97
1	24	1	132.1818181818182	144.45454545454547
1	25	1	139.64285714285714	128.35714285714286
1	26	1	138.4	143.6
1	27	1	117.6	20.4
1	28	1	78.2	131.4
1	29	1	80.2	58.8
2	1	2	20.008000000000006	19.99599999999999
2	2	2	19.911999999999995	94.96400000000006
2	3	2	20.028000000000006	170.056
2	4	2	94.96774193548384	19.983870967741932
2	5	2	95.02799999999993	95.05999999999996
2	6	2	94.9799196787149	170.0240963855421
2	7	2	170.0321285140562	20.05220883534138
2	8	2	169.99999999999994	94.99999999999997
2	9	2	170.05220883534145	169.9678714859438
2	10	1	85	116.8421052631579
2	11	1	37.5	172
2	12	1	86	124
2	13	1	69.9	53.3
2	14	1	88.55555555555556	71.88888888888889
2	15	1	115.2	158.5
2	16	1	125.33333333333334	62.5
2	17	1	81.25	94.5
2	18	1	89.83333333333333	81.66666666666667
2	19	1	176.4	57.8
2	20	1	29.5	144
2	21	1	32.333333333333336	101.33333333333333
2	22	1	162	101.5
2	23	1	49.5	97
2	24	1	132.53333333333333	144.60000000000002
2	25	1	139.72727272727272	128.40909090909093
2	26	1	138.28571428571428	143.57142857142858
2	27	1	117.625	20.375
2	28	1	78.57142857142858	132.14285714285714
2	29	1	80.2	58.8
3	1	2	20.044	20.039999999999996
3	2	2	19.911999999999995	94.96400000000006
3	3	2	20.028000000000006	170.056
3	4	2	94.96774193548384	19.983870967741932
3	5	2	95.02799999999993	95.05999999999996
3	6	2	95.01200000000003	170.03999999999994
3	7	2	170.0321285140562	20.05220883534138
3	8	2	169.99999999999994	94.99999999999997
3	9	2	170.08800000000008	169.972
3	10	1	84.79310344827586	116.55172413793102
3	11	1	37.333333333333336	172.33333333333334
3	12	1	85.71428571428571	124.28571428571429
3	13	1	70.4	53.60000000000001
3	14	1	88.46666666666668	71.46666666666665
3	15	1	114.70588235294117	158.5294117647059
3	16	1	125.36363636363636	62.36363636363637
3	17	1	80.8	94.4
3	18	1	89.81818181818181	81.13636363636365
3	19	1	176.2142857142857	56.92857142857144
3	20	1	30	144.5
3	21	1	32.5	101.5
3	22	1	162.33333333333334	101.66666666666667
3	23	1	49.5	97
3	24	1	132.71428571428567	145.10714285714286
3	25	1	139.70731707317074	128.46341463414635
3	26	1	138.125	143.25
3	27	1	117.50000000000001	20.07142857142857
3	28	1	78.63636363636364	132.1818181818182
3	29	1	80.57142857142858	59.285714285714285
4	1	2	20.044	20.039999999999996
4	2	2	19.911999999999995	94.96400000000006
4	3	2	20.028000000000006	170.056
4	4	2	94.96774193548384	19.983870967741932
4	5	2	95.02799999999993	95.05999999999996
4	6	2	95.01200000000003	170.03999999999994
4	7	2	170.0321285140562	20.05220883534138
4	8	2	170.04453441295541	94.94736842105263
4	9	2	170.08800000000008	169.972
4	10	1	84.58823529411768	116.58823529411765
4	11	1	35.625	173.00000000000003
4	12	1	85.58333333333334	125
4	13	1	70.73076923076924	53.65384615384615
4	14	1	88.21739130434781	71.47826086956523
4	15	1	114.72413793103446	158.72413793103448
4	16	1	125.41666666666666	62.583333333333336
4	17	1	80.4	94.6
4	18	1	90.21212121212122	81.66666666666667
4	19	1	175.90476190476193	57.19047619047619
4	20	1	29.999999999999996	144.125
4	21	1	33.25	101
4	22	1	162.875	102
4	23	1	49.5	97.5
4	24	1	132.82926829268288	145.43902439024387
4	25	1	140.86885245901644	129.1803278688525
4	26	1	137.61538461538464	143.15384615384616
4	27	1	117.54545454545456	20.227272727272723
4	28	1	78.93333333333335	132.4
4	29	1	81.12499999999999	59.62500000000001
5	1	2	20.044	20.039999999999996
5	2	2	19.911999999999995	94.96400000000006
5	3	2	20.028000000000006	170.056
5	4	2	94.96774193548384	19.983870967741932
5	5	2	95.02799999999998	95.17200000000003
5	6	2	95.01200000000003	170.03999999999994
5	7	2	170.03225806451616	20.016129032258064
5	8	2	170.08979591836723	94.89387755102047
5	9	2	170.08800000000008	169.972
5	10	1	84.94545454545457	116.43636363636367
5	11	1	35.9	173.05
5	12	1	86.23809523809521	124.57142857142857
5	13	1	70.86111111111111	53.666666666666686
5	14	1	88.05714285714285	71.42857142857143
5	15	1	114.58974358974359	158.28205128205124
5	16	1	126.05555555555554	62.61111111111112
5	17	1	80.28571428571429	93.71428571428572
5	18	1	90.23529411764706	81.80392156862746
5	19	1	176.09374999999997	57.06249999999999
5	20	1	30.529411764705884	144.58823529411768
5	21	1	33.46153846153846	100.76923076923079
5	22	1	162.0625	102.24999999999999
5	23	1	49.6	97.2
5	24	1	132.78431372549022	145.39215686274505
5	25	1	140.5	129.10000000000005
5	26	1	137.17647058823528	142.8235294117647
5	27	1	117.74074074074073	20.48148148148148
5	28	1	78.90909090909093	132.68181818181822
5	29	1	81.18181818181819	59.18181818181817
6	1	2	20.044	20.039999999999996
6	2	2	19.911999999999995	94.96400000000006
6	3	2	20.028000000000006	170.056
6	4	2	94.96774193548384	19.983870967741932
6	5	2	95.02811244979918	95.2048192771085
6	6	2	95.01200000000003	170.03999999999994
6	7	2	170.03225806451616	20.016129032258064
6	8	2	170.08979591836723	94.89387755102047
6	9	2	170.08800000000008	169.972
6	10	1	84.85074626865672	116.64179104477613
6	11	1	35.708333333333336	172.91666666666666
6	12	1	86.32000000000001	124.63999999999999
6	13	1	71.07692307692307	53.69230769230769
6	14	1	88.05128205128207	71.48717948717947
6	15	1	114.7017543859649	157.92982456140348
6	16	1	125.95652173913042	62.913043478260875
6	17	1	80.20689655172416	93.48275862068967
6	18	1	90.53521126760562	81.67605633802813
6	19	1	175.7272727272727	56.63636363636365
6	20	1	31.178571428571434	144.3571428571428
6	21	1	33.611111111111114	100.66666666666666
6	22	1	162.11538461538458	103.03846153846155
6	23	1	50	97.28571428571429
6	24	1	133.10526315789474	145.66666666666663
6	25	1	140.68807339449543	128.8990825688074
6	26	1	136.78125000000003	142.68749999999997
6	27	1	118.05263157894736	20.23684210526316
6	28	1	79.10810810810808	132.1351351351351
